,Valence,Arousal,Dominance,Liking
104,3.45,1.41,2.9,6.87
105,4.67,1.18,2.64,6.94
106,6.72,3.29,4.46,6.22
107,5.59,2.51,2.65,6.59
108,4.47,3.85,3.08,7.14
109,3.87,3.09,2.72,6.12
110,4.44,4.06,4.63,5.0
111,5.17,4.49,5.91,6.55
112,4.05,3.83,5.5,4.99
113,4.72,8.12,5.85,5.33
114,3.18,5.04,5.65,3.15
115,5.01,5.5,4.54,3.86
116,4.92,6.05,5.46,5.26
117,4.53,5.68,5.65,5.49
118,4.33,6.21,5.68,4.62
119,5.38,4.33,5.67,5.29
120,6.68,5.03,8.22,8.14
121,4.06,3.31,1.99,4.05
122,8.95,8.1,5.85,8.12
123,6.1,3.92,4.19,3.94
124,4.06,5.04,4.15,4.88
125,5.01,2.95,4.04,5.09
126,2.94,1.99,2.92,2.1
127,5.97,5.05,7.14,5.85
128,6.05,3.96,5.06,5.04
129,3.15,3.99,4.12,4.04
130,7.24,7.08,6.08,7.01
131,5.04,5.04,5.04,5.08
132,4.12,4.88,5.05,5.17
133,6.96,6.97,5.23,6.21
134,6.96,7.05,3.28,6.97
135,2.51,2.95,1.08,3.03
136,7.01,5.95,6.04,7.03
137,4.9,2.85,4.72,2.87
138,7.09,6.22,5.92,6.21
139,8.17,8.05,6.08,9.0
140,1.77,2.06,3.73,2.26
141,1.86,2.78,4.97,3.92
142,1.86,2.04,1.0,5.99
143,2.71,5.13,2.04,7.19
144,7.0,6.04,5.01,6.08
145,6.0,4.09,3.96,5.04
146,6.14,6.13,4.92,7.08
147,2.17,6.96,3.03,8.06
148,1.85,4.88,1.95,8.13
149,3.1,3.08,3.06,7.05
150,2.01,2.23,1.0,1.94
151,1.01,6.15,1.09,2.1
152,1.0,1.97,3.67,1.95
153,2.17,2.18,3.46,1.92
154,2.03,2.88,1.06,3.37
155,2.72,2.76,1.99,2.33
156,1.0,1.0,1.0,1.0
157,1.79,1.85,1.78,1.99
158,1.92,2.96,1.82,2.01
159,1.86,2.91,1.88,3.0
160,6.97,4.9,2.99,5.92
161,9.0,9.0,7.97,9.0
162,4.95,4.88,2.06,7.01
163,8.24,5.08,6.01,7.04
164,3.04,4.01,5.08,4.04
165,8.09,7.08,4.94,7.14
166,5.12,6.97,5.04,4.96
167,8.17,5.91,4.04,7.04
168,6.94,4.95,3.99,4.04
169,3.03,4.0,8.03,3.97
170,9.0,6.0,6.03,7.1
171,7.08,4.03,3.12,8.0
172,4.94,2.88,4.0,4.12
173,7.21,4.01,2.95,8.05
174,6.97,6.05,1.0,7.99
175,5.96,5.04,4.01,7.97
176,6.88,2.96,3.01,6.91
177,8.05,3.97,3.01,6.04
178,8.03,4.97,4.05,8.04
179,7.0,1.99,1.0,8.04
180,4.0,2.87,2.99,3.97
181,6.99,7.95,1.99,8.97
182,1.0,7.05,7.0,1.96
183,4.0,5.04,4.12,6.03
184,5.96,4.87,3.06,7.05
185,7.96,3.0,1.0,9.0
186,7.0,1.99,2.0,6.27
187,3.9,4.08,2.86,5.04
188,4.04,3.01,1.91,5.05
189,2.94,8.1,9.0,9.0
190,6.9,6.04,7.95,4.05
191,1.94,4.12,2.06,1.94
192,5.17,9.0,8.01,3.99
193,6.03,6.97,8.1,6.0
194,4.86,8.1,8.17,3.97
195,4.91,9.0,9.0,3.88
196,1.91,7.01,6.04,1.0
197,1.0,3.91,6.13,1.04
198,1.0,4.86,7.05,1.0
199,7.0,6.96,8.0,2.92
200,8.19,4.13,6.56,7.47
201,6.83,6.62,7.08,5.96
202,7.69,5.99,6.87,6.49
203,7.55,6.79,7.56,7.05
204,7.01,7.38,6.55,7.36
205,8.05,4.5,7.58,6.63
206,8.26,8.27,7.28,8.0
207,7.05,2.69,5.0,6.83
208,7.87,5.13,6.1,8.28
209,7.37,5.46,8.4,8.03
210,4.99,2.5,7.31,4.03
211,7.17,3.12,6.87,2.99
212,7.79,3.95,7.38,6.99
213,6.32,3.49,7.4,5.38
214,5.59,3.79,3.68,4.04
215,5.06,7.45,3.67,7.08
216,6.72,3.63,2.88,6.15
217,7.59,5.81,6.14,6.37
218,7.41,5.6,6.67,6.91
219,5.01,3.05,6.59,3.03
220,6.28,4.59,3.42,6.13
221,7.56,3.19,2.46,7.23
222,3.47,3.54,3.59,4.55
223,3.5,4.01,3.41,4.22
224,7.09,6.42,3.49,6.36
225,5.08,3.37,6.22,2.79
226,5.08,3.47,3.74,3.08
227,6.42,3.62,7.78,6.99
228,4.27,5.45,3.71,6.63
229,6.99,3.79,3.83,7.1
230,3.65,3.49,4.05,6.36
231,6.99,4.5,7.12,8.05
232,6.68,4.37,7.96,3.88
233,3.31,4.45,6.23,2.36
234,3.96,5.71,3.06,3.71
235,5.71,6.21,8.49,7.46
236,4.83,5.74,4.56,2.18
237,4.44,5.58,3.12,5.04
238,6.56,6.5,7.53,7.4
239,4.85,4.64,5.04,5.03
240,8.1,4.01,1.92,7.06
241,7.15,5.96,3.96,6.91
242,7.1,4.12,3.03,6.09
243,7.08,5.03,3.0,2.97
244,7.05,6.99,6.04,8.05
245,6.97,6.04,3.0,7.03
246,7.08,7.06,7.06,7.03
247,7.0,5.99,7.04,7.06
248,6.99,4.0,7.08,7.05
249,7.09,7.04,8.06,7.09
250,7.03,7.09,2.97,8.06
251,6.99,4.05,5.0,7.1
252,8.0,2.96,1.94,7.1
253,7.09,5.03,4.97,7.12
254,7.99,3.01,1.0,7.03
255,3.03,5.04,3.95,7.05
256,7.12,2.05,3.0,8.1
257,7.03,3.06,5.03,7.01
258,6.99,6.04,6.03,7.0
259,8.06,6.06,2.05,7.14
260,3.12,5.99,6.06,6.94
261,3.05,2.03,1.0,6.94
262,3.01,3.04,5.03,6.96
263,1.97,7.03,1.0,7.1
264,2.99,3.03,1.99,7.1
265,2.0,4.04,3.13,7.08
266,6.09,3.04,1.96,7.97
267,2.05,2.0,3.01,6.95
268,7.09,2.94,1.0,7.0
269,3.09,6.08,5.04,2.96
270,6.96,7.03,5.03,7.05
271,4.96,7.09,8.05,7.99
272,4.97,7.08,6.99,7.0
273,4.01,7.13,7.06,2.0
274,5.01,8.05,8.09,6.92
275,8.1,9.0,7.0,7.01
276,5.05,7.04,7.12,7.03
277,5.03,7.1,7.03,5.99
278,7.01,7.01,7.05,7.08
279,7.01,7.03,6.03,7.05
280,7.6,6.78,7.86,7.47
281,5.04,6.51,5.65,6.32
282,8.15,6.96,7.33,7.96
283,6.82,8.23,5.0,8.12
284,4.41,7.72,5.62,6.67
285,7.4,7.26,5.94,7.04
286,5.04,5.04,5.04,4.95
287,8.82,6.4,6.31,8.53
288,8.78,7.24,6.35,8.22
289,4.97,3.6,6.94,3.77
290,8.41,5.0,5.12,7.54
291,8.47,6.54,4.01,8.19
292,7.9,5.09,3.9,8.1
293,6.88,4.97,5.12,7.38
294,8.33,5.04,5.17,7.31
295,4.21,5.06,5.0,6.24
296,6.67,4.77,5.04,6.6
297,7.21,4.03,5.44,6.64
298,5.04,6.28,5.04,5.81
299,6.74,4.21,6.44,7.08
300,4.68,6.41,6.27,7.33
301,4.23,5.79,1.19,7.79
302,3.59,3.68,3.44,6.6
303,4.15,4.56,3.35,7.86
304,3.72,3.9,3.5,7.71
305,4.99,4.99,5.04,7.44
306,4.46,4.59,6.65,6.21
307,5.04,4.96,5.04,8.68
308,2.78,2.99,3.62,7.15
309,1.4,3.13,1.21,7.95
310,1.45,6.6,1.45,3.27
311,6.33,8.23,8.23,8.83
312,4.44,6.44,5.94,5.51
313,5.05,6.83,5.92,6.69
314,3.62,6.67,6.74,5.9
315,1.21,7.94,3.03,9.0
316,5.06,3.31,3.21,4.55
317,4.72,4.69,5.65,5.65
318,5.05,3.46,3.45,2.88
319,3.13,5.03,4.95,3.81
320,5.05,4.04,3.01,4.97
321,7.08,6.14,5.0,7.03
322,7.08,7.14,7.09,7.06
323,5.99,5.97,5.03,6.09
324,4.99,4.96,3.94,5.12
325,7.04,6.19,6.13,7.08
326,5.08,5.01,3.9,5.03
327,6.15,5.0,5.03,5.99
328,5.96,4.05,4.04,5.01
329,3.94,3.96,3.99,3.96
330,7.12,7.1,7.14,7.0
331,7.08,6.99,7.09,6.13
332,8.15,7.04,8.17,8.08
333,7.0,6.13,7.12,7.04
334,6.21,6.01,4.99,6.06
335,4.05,4.0,3.87,6.04
336,6.03,6.04,5.03,6.06
337,4.9,4.97,4.96,5.03
338,3.97,4.03,3.94,4.99
339,5.12,4.97,5.0,5.29
340,4.04,4.01,4.12,4.0
341,3.99,4.0,3.97,4.99
342,5.0,4.97,3.09,5.97
343,4.03,5.01,6.08,4.97
344,5.04,4.04,5.04,5.04
345,4.1,4.1,4.03,5.12
346,5.04,5.05,4.97,5.03
347,2.96,7.08,2.96,6.05
348,3.99,4.15,3.0,4.99
349,4.04,6.06,3.96,6.06
350,6.06,6.06,5.03,6.05
351,3.1,5.97,3.06,4.06
352,3.08,4.06,2.96,4.13
353,5.06,6.1,4.01,6.03
354,3.01,6.03,2.96,5.96
355,3.08,7.05,6.95,7.06
356,2.99,6.09,2.97,6.06
357,2.92,6.09,1.99,6.12
358,3.17,6.1,4.03,6.04
359,5.04,5.01,4.04,4.96
360,7.91,6.15,6.67,7.63
361,3.55,5.76,6.64,5.12
362,5.86,4.45,5.82,6.01
363,7.01,5.91,6.01,6.86
364,7.24,6.23,8.13,7.9
365,7.1,6.0,6.82,6.85
366,8.96,7.58,4.95,7.09
367,5.68,4.05,6.05,6.22
368,7.56,6.21,7.59,7.27
369,5.94,6.0,6.14,6.23
370,8.99,7.14,7.09,9.0
371,5.37,4.37,3.95,6.65
372,6.72,3.64,4.67,6.08
373,8.81,4.91,5.9,7.97
374,5.31,2.88,3.85,5.04
375,3.85,2.83,2.99,4.09
376,4.95,3.96,4.22,6.17
377,7.31,3.44,5.18,8.12
378,7.82,5.19,6.01,7.82
379,5.58,3.26,3.76,5.77
380,2.97,5.22,2.85,6.0
381,4.24,2.96,4.04,3.35
382,2.87,4.24,3.21,5.44
383,6.82,2.03,6.05,1.73
384,1.92,4.01,3.17,7.18
385,4.95,1.68,5.1,5.96
386,4.94,2.97,5.05,5.1
387,4.31,3.87,4.5,6.29
388,3.94,2.97,5.04,5.47
389,2.64,5.04,3.18,4.99
390,4.15,5.49,3.6,5.53
391,5.96,7.47,9.0,6.44
392,4.94,5.73,5.03,4.88
393,3.91,5.95,5.04,4.1
394,1.38,5.97,5.97,4.1
395,2.17,6.18,4.26,3.01
396,2.92,6.26,4.78,3.04
397,1.91,5.46,2.97,3.23
398,2.17,6.21,6.21,3.87
399,5.78,6.15,7.04,6.44
400,6.27,4.03,7.41,6.5
401,5.67,3.86,6.03,5.63
402,7.41,5.21,7.45,6.27
403,7.65,6.53,8.27,7.06
404,7.41,6.4,7.55,6.68
405,5.32,5.38,5.27,2.78
406,6.37,4.72,5.13,6.22
407,6.26,6.14,7.54,6.1
408,7.04,6.42,8.31,8.32
409,6.53,1.29,8.41,2.36
410,7.32,2.74,6.86,5.19
411,5.04,1.01,7.46,1.37
412,8.42,1.82,6.01,7.69
413,7.96,5.04,7.32,6.03
414,6.92,1.06,5.95,3.04
415,4.35,1.23,4.41,1.79
416,8.32,3.19,6.19,6.19
417,7.95,2.96,8.33,7.08
418,5.54,2.6,6.4,5.06
419,6.0,1.05,5.12,1.0
420,3.27,2.41,1.58,6.31
421,6.15,1.17,6.01,6.4
422,3.72,2.73,6.35,6.95
423,2.88,1.06,6.44,1.33
424,5.01,1.72,6.14,2.53
425,5.49,1.01,5.81,6.18
426,2.28,7.2,1.36,2.9
427,4.26,1.13,4.94,6.78
428,2.32,2.83,2.4,1.55
429,4.58,4.96,3.83,1.0
430,1.83,3.78,2.33,5.01
431,5.01,6.83,6.1,7.1
432,5.64,6.36,5.86,1.24
433,4.88,4.95,4.94,1.24
434,1.23,8.1,4.94,1.05
435,3.62,6.36,5.97,1.42
436,1.47,8.12,2.09,1.24
437,1.35,7.45,1.19,1.22
438,1.0,8.7,1.14,1.01
439,4.95,2.9,3.69,4.96
440,7.09,7.1,7.24,6.82
441,6.09,7.14,5.24,6.15
442,7.33,7.33,7.12,7.92
443,6.86,9.0,6.15,6.22
444,4.01,8.21,2.97,2.82
445,6.65,7.08,6.09,6.03
446,6.77,7.01,6.64,6.97
447,5.1,6.1,3.28,3.81
448,7.95,8.74,8.03,7.79
449,4.06,6.96,3.91,2.76
450,7.78,5.09,7.13,7.27
451,6.86,6.9,4.88,6.04
452,7.99,6.91,8.01,7.95
453,8.15,5.19,8.27,7.85
454,7.08,5.95,6.19,6.29
455,5.04,3.05,3.79,5.96
456,4.86,2.87,5.05,2.94
457,7.35,5.13,7.95,7.82
458,7.03,6.88,6.21,6.94
459,7.35,6.91,7.94,9.0
460,2.13,4.88,1.96,3.88
461,3.33,3.17,3.33,5.19
462,1.74,3.15,2.01,2.09
463,2.79,4.86,3.05,6.01
464,2.78,5.1,2.68,3.04
465,6.08,5.14,5.24,6.36
466,5.05,5.01,6.22,6.23
467,5.04,3.03,2.91,5.99
468,1.67,5.21,1.92,6.21
469,3.36,7.18,7.27,6.22
470,3.18,7.37,3.03,3.18
471,1.86,6.95,2.01,1.03
472,1.9,7.97,1.9,2.04
473,4.87,8.24,1.97,1.0
474,1.22,8.9,2.88,1.0
475,2.82,7.14,3.88,2.94
476,1.0,7.96,1.85,1.18
477,2.85,6.86,3.1,2.23
478,3.18,7.17,2.88,3.17
479,6.81,8.72,6.94,7.08
480,6.15,8.09,5.01,6.08
481,4.03,7.51,8.09,3.58
482,9.0,7.06,5.09,6.96
483,7.08,7.01,6.05,7.01
484,5.01,7.97,8.01,6.03
485,4.46,6.97,7.1,5.0
486,2.99,8.03,8.08,1.0
487,7.99,7.03,7.03,8.12
488,7.06,6.99,6.04,7.08
489,4.01,9.0,7.05,6.04
490,7.04,6.06,4.04,7.05
491,5.08,3.08,6.08,6.01
492,9.0,7.06,4.06,9.0
493,7.97,5.04,6.1,7.99
494,4.94,1.55,7.03,1.97
495,5.0,1.0,1.0,4.1
496,5.99,5.03,3.04,6.01
497,7.94,5.99,3.03,7.06
498,8.51,5.97,6.01,8.51
499,7.6,6.06,4.99,7.03
500,2.0,6.0,1.95,4.04
501,4.01,4.96,2.99,6.05
502,1.0,5.99,1.0,6.95
503,2.97,4.04,1.91,7.09
504,3.97,6.04,5.09,8.01
505,5.04,4.0,7.01,5.99
506,5.47,6.08,2.0,8.53
507,7.08,8.01,4.03,7.1
508,4.04,7.04,1.99,7.59
509,3.05,7.06,1.99,2.92
510,1.97,9.0,1.0,7.06
511,4.05,9.0,6.01,5.99
512,4.55,7.01,8.04,4.42
513,2.92,8.99,9.0,3.04
514,1.0,9.0,1.0,3.03
515,2.54,8.01,9.0,4.08
516,1.0,8.97,1.0,2.08
517,1.0,9.0,1.0,1.0
518,1.97,9.0,1.99,2.01
519,4.08,9.0,7.03,7.08
520,8.22,7.78,4.0,7.42
521,6.05,7.9,5.06,5.01
522,7.5,6.68,7.14,7.58
523,7.38,6.72,6.18,6.94
524,3.99,7.06,7.99,8.03
525,7.19,6.83,6.55,7.67
526,6.85,5.53,6.18,7.62
527,7.0,6.21,7.18,7.96
528,7.69,7.44,8.42,8.92
529,1.88,8.03,7.09,4.05
530,8.03,4.26,5.73,7.85
531,7.63,2.6,5.08,7.01
532,6.79,3.19,3.88,6.85
533,8.03,4.36,7.99,7.99
534,7.08,3.37,5.14,7.17
535,3.96,2.35,3.65,4.51
536,6.06,3.32,6.28,6.04
537,8.09,3.15,5.08,7.53
538,7.55,5.92,6.06,5.23
539,7.33,6.63,3.27,4.65
540,1.03,6.09,1.94,3.78
541,4.1,3.14,3.01,5.01
542,2.41,5.95,2.69,6.96
543,2.36,6.19,2.45,5.71
544,3.87,3.09,3.06,6.36
545,3.28,2.32,4.0,6.77
546,5.81,3.09,3.97,6.74
547,2.53,2.96,2.1,6.0
548,2.92,5.96,3.24,6.53
549,1.1,5.94,3.14,7.04
550,3.26,6.49,6.27,5.82
551,1.99,6.95,7.01,3.4
552,3.18,5.83,3.81,2.9
553,2.5,6.08,2.73,1.09
554,2.68,6.17,3.68,3.49
555,2.01,6.21,6.13,2.01
556,3.47,5.96,4.04,2.4
557,2.26,5.77,3.23,3.13
558,6.65,7.06,7.78,2.78
559,6.68,6.86,6.0,5.23
560,8.9,5.86,7.26,8.04
561,5.04,4.06,5.03,6.09
562,8.04,5.0,7.06,9.0
563,8.04,3.96,6.04,8.04
564,9.0,7.15,9.0,9.0
565,9.0,5.13,8.01,8.95
566,5.04,3.06,5.95,5.01
567,9.0,5.04,9.0,7.05
568,9.0,5.06,6.99,8.03
569,4.99,5.04,7.06,5.95
570,8.99,5.01,7.26,9.0
571,7.08,2.99,6.06,6.13
572,7.06,4.04,6.0,8.05
573,8.15,3.95,7.03,9.0
574,8.12,4.03,9.0,7.05
575,4.17,2.95,4.03,6.06
576,8.1,2.96,7.04,8.12
577,7.04,4.05,6.96,7.05
578,7.04,3.01,6.08,7.0
579,7.97,5.06,7.06,9.0
580,3.09,3.14,3.13,4.1
581,4.12,2.04,4.06,3.96
582,3.05,4.12,2.88,4.03
583,1.92,6.05,2.92,8.01
584,2.96,5.04,2.95,8.0
585,4.96,3.04,2.95,6.0
586,6.0,4.14,5.17,8.06
587,4.01,4.97,4.04,7.04
588,4.05,6.08,4.01,8.0
589,2.04,6.99,4.03,6.95
590,2.99,4.01,3.03,2.95
591,3.97,6.05,3.1,1.0
592,3.01,4.01,4.13,1.0
593,3.01,7.13,2.97,1.0
594,5.05,6.91,5.03,2.1
595,3.96,5.0,4.08,2.03
596,3.04,5.04,1.9,1.0
597,2.08,7.03,1.03,1.0
598,4.0,5.03,2.01,1.0
599,4.01,7.12,1.04,2.12
600,2.51,5.65,2.9,1.97
601,6.45,5.03,5.04,5.54
602,6.74,5.83,6.37,6.83
603,7.09,5.67,2.53,5.65
604,5.51,7.9,9.0,8.14
605,4.99,3.63,5.05,2.78
606,6.83,2.87,6.17,7.14
607,3.51,2.88,7.14,1.5
608,4.18,4.24,4.55,2.96
609,5.14,7.5,9.0,7.01
610,7.27,4.27,5.04,3.15
611,5.97,3.9,4.1,6.01
612,3.88,2.14,1.42,2.54
613,3.64,6.28,2.83,6.96
614,2.67,5.53,1.0,6.05
615,4.97,1.0,5.05,2.76
616,1.21,8.47,1.19,9.0
617,6.56,5.72,5.22,7.37
618,2.86,2.94,3.9,2.4
619,3.82,5.87,7.63,1.87
620,4.42,2.0,6.22,2.62
621,6.79,1.0,5.03,4.36
622,3.9,3.83,2.77,3.54
623,2.51,5.38,1.53,5.99
624,2.47,3.45,2.4,2.13
625,1.82,6.21,3.36,7.56
626,2.59,5.49,2.88,1.83
627,2.85,3.38,3.44,6.69
628,3.23,2.79,3.09,2.62
629,6.1,3.68,3.88,6.05
630,3.88,5.79,5.04,6.19
631,5.01,8.12,4.96,2.86
632,1.0,3.92,4.96,1.0
633,1.0,7.53,1.0,1.0
634,1.0,3.71,4.22,1.82
635,5.05,3.83,6.17,5.88
636,6.09,5.5,6.44,5.83
637,4.27,6.26,7.94,6.53
638,6.13,5.97,8.49,6.0
639,3.74,3.77,4.05,6.19
640,4.05,5.96,5.01,5.04
641,7.26,7.03,5.28,7.31
642,6.46,5.78,5.04,6.04
643,6.35,5.56,5.74,4.04
644,7.05,8.15,6.12,7.35
645,6.9,5.95,5.37,7.14
646,7.08,6.6,5.87,8.13
647,6.05,4.99,5.0,6.03
648,6.04,6.13,5.1,6.24
649,6.09,7.05,5.54,6.06
650,6.03,5.67,5.86,6.1
651,5.96,3.68,5.59,4.96
652,4.54,5.51,5.08,6.47
653,6.58,5.85,5.59,7.32
654,5.96,4.06,5.04,5.99
655,5.92,3.62,5.6,6.28
656,4.12,2.5,5.04,3.83
657,6.22,3.83,5.49,7.69
658,7.27,6.03,5.04,6.1
659,7.03,3.88,5.87,6.27
660,4.0,4.09,5.24,4.21
661,3.19,3.82,5.72,5.69
662,3.62,2.95,5.04,2.92
663,4.53,4.27,4.5,6.06
664,6.18,4.0,5.04,6.47
665,3.73,2.77,5.81,3.73
666,3.96,3.29,5.04,2.62
667,5.64,3.78,5.77,6.04
668,5.54,5.0,5.47,5.9
669,3.04,5.81,4.59,6.08
670,4.54,5.69,4.23,5.63
671,4.04,5.86,5.08,3.94
672,3.83,5.74,5.55,2.86
673,4.99,6.38,4.82,2.88
674,4.17,5.74,5.46,2.35
675,3.37,6.12,5.31,2.15
676,3.46,7.03,5.86,1.0
677,3.6,6.23,5.81,2.4
678,7.1,7.03,5.95,4.01
679,5.04,6.03,5.05,5.72
680,6.33,6.74,5.74,6.26
681,6.87,6.09,6.36,5.67
682,6.36,6.72,6.08,6.32
683,6.65,7.97,6.73,6.78
684,6.13,7.72,7.54,7.59
685,6.51,6.04,5.33,6.05
686,7.33,6.94,6.88,6.28
687,5.0,5.49,5.97,4.59
688,6.55,6.03,5.94,6.56
689,6.09,7.29,7.31,7.73
690,6.24,6.6,6.03,5.47
691,5.55,4.63,5.04,4.13
692,7.33,4.09,4.86,6.15
693,6.62,3.94,6.14,6.09
694,6.04,5.35,5.5,4.77
695,4.38,4.03,5.73,3.67
696,7.74,5.77,7.03,8.51
697,7.05,3.08,5.97,6.64
698,7.04,6.83,6.05,7.29
699,6.24,5.71,5.77,5.99
700,3.92,4.33,4.4,4.29
701,5.69,3.97,5.03,4.12
702,3.71,4.31,4.99,4.31
703,3.22,6.21,2.81,6.35
704,4.23,5.6,5.73,3.69
705,5.44,3.08,5.58,4.05
706,5.94,5.24,5.9,5.36
707,5.95,4.38,5.41,5.94
708,4.9,4.22,4.29,3.92
709,2.96,5.51,3.78,4.46
710,4.44,6.05,6.97,6.4
711,4.62,6.73,6.32,5.91
712,4.56,4.15,6.21,3.13
713,4.15,3.26,6.28,3.22
714,5.12,7.06,6.81,6.03
715,5.24,6.99,7.08,6.05
716,4.0,6.24,6.37,4.05
717,4.51,4.04,5.01,3.01
718,4.06,4.58,5.64,3.99
719,5.0,6.06,6.09,4.99
720,7.44,6.45,5.91,6.95
721,6.46,6.81,5.83,6.29
722,6.82,7.04,6.03,7.31
723,5.77,5.53,4.05,5.74
724,7.79,8.62,7.96,9.0
725,7.73,6.9,5.97,7.71
726,6.64,6.59,5.0,6.83
727,7.44,6.67,6.53,6.94
728,7.09,5.67,5.03,6.87
729,5.01,7.67,6.78,8.01
730,5.83,5.63,5.91,6.19
731,6.26,5.67,3.53,6.21
732,7.53,6.49,5.05,7.56
733,6.76,3.01,2.05,6.13
734,5.68,2.73,2.56,6.42
735,3.24,1.95,2.6,5.5
736,7.38,3.54,3.29,8.77
737,7.77,6.35,5.03,7.53
738,7.65,7.05,6.19,7.96
739,6.13,6.01,4.95,3.29
740,2.19,3.28,3.08,6.13
741,5.04,4.87,5.04,5.26
742,3.77,3.74,2.12,4.51
743,3.23,4.01,5.83,5.41
744,2.19,3.81,3.29,7.54
745,4.95,3.53,2.41,5.41
746,4.97,2.97,5.04,3.51
747,6.21,2.08,2.88,6.96
748,2.82,5.44,4.09,3.74
749,2.85,2.26,3.76,6.58
750,5.03,5.88,4.58,2.74
751,4.96,7.71,6.99,6.74
752,3.4,7.13,6.24,1.44
753,4.17,6.53,5.82,4.88
754,3.21,6.03,6.4,1.0
755,3.71,5.95,5.54,2.96
756,3.15,5.53,5.92,1.0
757,1.62,7.58,5.81,1.0
758,5.04,5.05,5.04,1.0
759,4.24,6.33,6.06,1.83
760,5.76,4.78,3.78,5.31
761,6.77,5.04,3.1,6.81
762,7.18,4.23,5.69,7.37
763,7.05,5.92,5.46,6.91
764,8.82,8.06,7.86,8.32
765,7.62,5.74,3.18,7.79
766,5.27,7.01,5.04,6.24
767,7.63,5.92,7.85,7.68
768,8.22,7.31,5.04,8.1
769,5.13,6.81,4.08,8.06
770,8.18,6.41,7.1,7.37
771,7.64,5.46,6.44,6.36
772,7.91,5.04,7.37,7.72
773,6.4,5.6,4.67,5.81
774,6.35,5.26,4.68,6.29
